match_id,bookmaker,open_home,open_draw,open_away,home_odds,draw_odds,away_odds,over_under_line
FRA-SEN-A,Book A,1.5,4.35,7.1,1.42,4.6,8.2,3.0
FRA-SEN-A,Book B,1.53,4.2,6.9,1.46,4.45,7.7,2.75
FRA-SEN-A,Book C,1.55,4.1,6.6,1.48,4.35,7.4,3.0
BRA-GER-B,Book A,2.05,3.45,3.65,2.0,3.5,3.85,2.75
BRA-GER-B,Book B,2.1,3.4,3.55,2.04,3.45,3.75,2.75
BRA-GER-B,Book C,2.08,3.35,3.6,2.02,3.42,3.82,2.5
ARG-ENG-C,Book A,2.35,3.25,3.05,2.28,3.3,3.2,2.5
ARG-ENG-C,Book B,2.4,3.2,3.0,2.32,3.25,3.15,2.5
ARG-ENG-C,Book C,2.38,3.22,3.08,2.3,3.28,3.18,2.25
POR-UZB-K,Book A,1.3,5.4,10.5,1.26,5.8,12.0,2.75
POR-UZB-K,Book B,1.32,5.2,10.0,1.28,5.6,11.5,2.75
POR-UZB-K,Book C,1.31,5.3,10.2,1.27,5.7,11.8,3.0
ENG-GHA-L,Book A,1.44,4.55,7.6,1.38,4.9,8.8,2.5
ENG-GHA-L,Book B,1.46,4.45,7.3,1.4,4.75,8.4,2.5
ENG-GHA-L,Book C,1.45,4.5,7.4,1.39,4.85,8.6,2.75
PAN-CRO-L,Book A,7.1,4.35,1.5,7.9,4.55,1.44,2.5
PAN-CRO-L,Book B,6.9,4.25,1.52,7.6,4.45,1.46,2.5
PAN-CRO-L,Book C,7.0,4.3,1.51,7.8,4.5,1.45,2.25
COL-COD-K,Book A,1.66,3.85,5.8,1.58,4.05,6.4,2.25
COL-COD-K,Book B,1.68,3.75,5.6,1.6,3.95,6.2,2.5
COL-COD-K,Book C,1.65,3.9,5.7,1.57,4.1,6.3,2.25
SUI-CAN-B,Book A,2.05,3.35,3.7,2.0,3.42,3.85,2.5
SUI-CAN-B,Book B,2.08,3.3,3.65,2.03,3.4,3.78,2.5
SUI-CAN-B,Book C,2.02,3.38,3.75,1.98,3.45,3.9,2.25
BIH-QAT-C,Book A,2.12,3.25,3.6,2.05,3.35,3.85,2.25
BIH-QAT-C,Book B,2.16,3.2,3.55,2.1,3.3,3.75,2.25
BIH-QAT-C,Book C,2.1,3.28,3.65,2.06,3.32,3.82,2.5
SCO-BRA-C,Book A,6.5,4.2,1.55,7.2,4.45,1.48,2.75
SCO-BRA-C,Book B,6.3,4.1,1.57,6.9,4.35,1.5,2.75
SCO-BRA-C,Book C,6.7,4.25,1.53,7.4,4.5,1.47,3.0
MAR-HAI-B,Book A,1.45,4.45,7.8,1.39,4.8,8.8,2.5
MAR-HAI-B,Book B,1.47,4.35,7.5,1.41,4.7,8.4,2.5
MAR-HAI-B,Book C,1.44,4.5,7.9,1.38,4.85,8.9,2.75
CZE-MEX-A,Book A,3.05,3.25,2.35,3.15,3.3,2.28,2.5
CZE-MEX-A,Book B,3.0,3.22,2.4,3.1,3.28,2.3,2.5
CZE-MEX-A,Book C,3.08,3.2,2.34,3.18,3.26,2.26,2.25
RSA-KOR-H,Book A,4.1,3.45,1.95,4.3,3.55,1.88,2.25
RSA-KOR-H,Book B,4.0,3.4,1.98,4.2,3.5,1.9,2.25
RSA-KOR-H,Book C,4.15,3.48,1.94,4.35,3.55,1.87,2.5
