internal_team,alias
Argentina,Argentina
Austria,Austria
Brazil,Brazil
Colombia,Colombia
Congo DR,Congo DR
Congo DR,DR Congo
Congo DR,Democratic Republic of Congo
Croatia,Croatia
Egypt,Egypt
England,England
France,France
Germany,Germany
Ghana,Ghana
Iraq,Iraq
Jordan,Jordan
Norway,Norway
Panama,Panama
Portugal,Portugal
Senegal,Senegal
Uzbekistan,Uzbekistan
Switzerland,Switzerland
Canada,Canada
Bosnia and Herzegovina,Bosnia and Herzegovina
Bosnia and Herzegovina,Bosnia-Herzegovina
Bosnia and Herzegovina,Bosnia
Qatar,Qatar
Scotland,Scotland
Morocco,Morocco
Haiti,Haiti
Czechia,Czechia
Czechia,Czech Republic
Mexico,Mexico
South Africa,South Africa
Korea Republic,Korea Republic
Korea Republic,South Korea
Korea Republic,Republic of Korea
