team,matches_played,prior_attack,prior_defense,recent_xg_for,recent_xg_against,recent_matches,form_multiplier
France,5,2.05,0.82,11.8,4.6,5,1.04
Senegal,5,1.22,1.04,6.1,5.9,5,0.99
Brazil,5,1.95,0.86,10.3,5.2,5,1.02
Germany,5,1.78,0.95,8.7,6.4,5,0.98
Argentina,5,1.9,0.88,9.2,5.0,5,1.01
England,5,1.82,0.9,8.8,5.3,5,1.0
Portugal,5,2.0,0.86,10.6,4.8,5,1.03
Uzbekistan,5,1.1,1.08,5.5,6.2,5,0.98
Ghana,5,1.2,1.1,5.9,6.0,5,0.99
Panama,5,0.98,1.2,4.7,6.8,5,0.97
Croatia,5,1.62,0.98,7.8,5.5,5,1.0
Colombia,5,1.68,0.96,8.1,5.2,5,1.01
Congo DR,5,1.08,1.12,5.2,6.5,5,0.98
Switzerland,5,1.5,0.99,7.3,5.2,5,1.0
Canada,5,1.25,1.08,6.4,6.1,5,1.0
Bosnia and Herzegovina,5,1.16,1.13,5.7,6.5,5,0.98
Qatar,5,1.03,1.2,5.0,6.9,5,0.97
Scotland,5,1.22,1.09,6.0,6.1,5,0.99
Morocco,5,1.55,0.94,7.9,4.9,5,1.02
Haiti,5,0.84,1.32,4.0,7.4,5,0.96
Czechia,5,1.38,1.05,6.8,5.7,5,1.0
Mexico,5,1.5,1.0,7.4,5.4,5,1.01
South Africa,5,1.06,1.15,5.3,6.4,5,0.98
Korea Republic,5,1.43,1.02,7.0,5.5,5,1.01
