team,elo,attack_strength,defense_factor
France,1948,2.35,0.78
Senegal,1715,1.3,1.08
Brazil,1912,2.1,0.84
Germany,1838,1.82,0.96
Argentina,1901,2.0,0.86
England,1870,1.88,0.88
Portugal,1935,2.08,0.84
Uzbekistan,1635,1.08,1.12
Ghana,1645,1.18,1.1
Panama,1510,0.96,1.24
Croatia,1795,1.66,0.96
Colombia,1810,1.72,0.94
Congo DR,1585,1.06,1.15
Switzerland,1768,1.54,0.98
Canada,1672,1.28,1.08
Bosnia and Herzegovina,1628,1.18,1.14
Qatar,1554,1.02,1.22
Scotland,1662,1.25,1.09
Morocco,1785,1.58,0.92
Haiti,1428,0.82,1.34
Czechia,1704,1.4,1.04
Mexico,1748,1.52,0.99
South Africa,1588,1.06,1.16
Korea Republic,1735,1.46,1.0
