match_id,fixture_date_utc,local_date_cn,kickoff_utc,kickoff_cn,group,home_team,away_team,venue,status,home_score,away_score,source,source_url,matchday_date
ARG-AUT-J,2026-06-22,2026-06-23,2026-06-22T17:00:00Z,2026-06-23 01:00,Group J,Argentina,Austria,Dallas Stadium,FT,2.0,0.0,ESPN,https://www.espn.com/soccer/story/_/id/48939282/2026-fifa-world-cup-fixtures-results-match-schedule-group-stage-knockout-rounds-bracket,
FRA-IRQ-I,2026-06-22,2026-06-23,2026-06-22T21:00:00Z,2026-06-23 05:00,Group I,France,Iraq,Philadelphia Stadium,FT,3.0,0.0,ESPN,https://www.espn.com/soccer/story/_/id/48820641/fifa-world-cup-2026-how-watch-socceroos-fixtures-results,
NOR-SEN-I,2026-06-23,2026-06-23,2026-06-23T00:00:00Z,2026-06-23 08:00,Group I,Norway,Senegal,New York New Jersey Stadium,FT,3.0,2.0,FIFA,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures,
JOR-ALG-J,2026-06-23,2026-06-23,2026-06-23T03:00:00Z,2026-06-23 11:00,Group J,Jordan,Algeria,San Francisco Bay Area Stadium,FT,1.0,2.0,FIFA,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/todays-matches-live-updates,
POR-UZB-K,2026-06-23,2026-06-24,2026-06-23T17:00:00Z,2026-06-24 01:00,Group K,Portugal,Uzbekistan,Houston Stadium,FT,5.0,0.0,FIFA,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/todays-matches-live-updates,
ENG-GHA-L,2026-06-23,2026-06-24,2026-06-23T20:00:00Z,2026-06-24 04:00,Group L,England,Ghana,Boston Stadium,FT,0.0,0.0,FIFA,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,
PAN-CRO-L,2026-06-23,2026-06-24,2026-06-23T23:00:00Z,2026-06-24 07:00,Group L,Panama,Croatia,Toronto Stadium,Scheduled,,,FIFA,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,
COL-COD-K,2026-06-23,2026-06-24,2026-06-24T02:00:00Z,2026-06-24 10:00,Group K,Colombia,Congo DR,Estadio Guadalajara,Scheduled,,,DK Network,https://dknetwork.draftkings.com/2026/06/22/2026-fifa-world-cup-live-updates-results-standings-and-schedule-for-tuesday-june-23/,
SUI-CAN-B,2026-06-24,2026-06-25,2026-06-24T19:00:00Z,2026-06-25 03:00,Group B,Switzerland,Canada,San Francisco Bay Area Stadium,Scheduled,,,FIFA,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026,2026-06-24
BIH-QAT-C,2026-06-24,2026-06-25,2026-06-24T22:00:00Z,2026-06-25 06:00,Group C,Bosnia and Herzegovina,Qatar,Seattle Stadium,Scheduled,,,FIFA,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026,2026-06-24
SCO-BRA-C,2026-06-24,2026-06-25,2026-06-24T22:00:00Z,2026-06-25 06:00,Group C,Scotland,Brazil,Miami Stadium,Scheduled,,,FIFA,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026,2026-06-24
MAR-HAI-B,2026-06-24,2026-06-25,2026-06-25T01:00:00Z,2026-06-25 09:00,Group B,Morocco,Haiti,Atlanta Stadium,Scheduled,,,FIFA,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026,2026-06-24
CZE-MEX-A,2026-06-25,2026-06-25,2026-06-25T01:00:00Z,2026-06-25 09:00,Group A,Czechia,Mexico,Mexico City Stadium,Scheduled,,,FIFA,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026,2026-06-24
RSA-KOR-H,2026-06-25,2026-06-25,2026-06-25T01:00:00Z,2026-06-25 09:00,Group H,South Africa,Korea Republic,Estadio Monterrey,Scheduled,,,FIFA,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026,2026-06-24
